"nameWithOwner","description","tag"
"situxinxin/LunarPickerView","用pickerView写的日历,包含节气,阳历,农历,隐藏年份等,还有点击的自定义的根据文字长度适配的button  for iOS","[""ios"",""for""]"
"jasmineiris/cpProj-1","Movie Theater Review iOS App","[""ios"",""review"",""app"",""ios-app"",""movie"",""theater""]"
"hitherejoe/Reactemon","A React-Native Pokedex for Android/iOS","[""react-native"",""for"",""pokedex"",""a""]"
"coolnameismy/dev-tips","dev-tips是一个开发中常见问题的收集和整理，包含.net,ios,android,开发环境,flex,web,数据库,react native,html,js,ide,svn,git,等等，这些都是我在开发过程是实际遇到过的问题收集和整理。","[]"
"mchoe/Resplendent","A unit tested color library for iOS and Mac written in Swift","[""swift"",""ios"",""library"",""mac"",""color"",""for"",""in"",""unit"",""a"",""and"",""tested""]"
"FlexMonkey/CoreImageCathodeRayTube","Simple cathode ray tube simulation CIKernel processing live feed from iOS camera.","[""ios"",""processing"",""feed"",""simple"",""simulation"",""live"",""from"",""cikernel""]"
"minggo620/iOSInputView","iOS InputView、AccecyInputView、 EmotionBoard","[""ios""]"
"liaogang/iDLNA","An IOS standard DLNA implement.","[""ios"",""dlna"",""standard"",""an""]"
"cesarferreira/international","Tool to convert CSV to localization specific files (ios/android)","[""localization"",""csv"",""tool"",""files"",""convert"",""to""]"
"walkdianzi/DSRoundedImageArticle","iOS图片高性能设置圆角研究过程文章","[]"
"onmyway133/Scale",":flags: Unit converter in Swift","[""swift"",""converter"",""unit-converter"",""in"",""unit""]"
"ubi-naist/SenStick","Software for SenStick (iOS app, firmware)","[""for"",""software""]"
"okoala/react-native-starter","React Native + Redux + Code Push @ Android iOS Starter Kit","[""ios"",""android"",""react-native"",""native"",""push"",""redux"",""code-push"",""react"",""starter-kit"",""starter"",""android-ios"",""kit"",""code""]"
"ustwo/baseviewcontroller-swift","An organizational tool for writing custom view controllers using UIKit.","[""view"",""custom-view"",""custom"",""tool"",""for"",""using"",""an""]"
"toddjohn/OBJViewer-iOS","Sample application to parse a Wavefront OBJ file and display it using SceneKit","[""file"",""scenekit"",""display"",""sample"",""application"",""parse"",""it"",""wavefront-obj"",""wavefront"",""to"",""using"",""a"",""obj"",""and""]"
"zorn/JSONFunHouse","iOS app that demos various JSON libraries.","[""json"",""ios"",""app"",""ios-app"",""demos""]"
"IntrepidPursuits/NSURLSession-Swift-Example","Sample code for the iOS track ""Consuming Web Services"" lecture.","[""ios"",""web"",""sample"",""for"",""track"",""sample-code"",""code"",""the""]"
"KnightJoker/KJGameProject"," The iOS game project.For my learning about Lianliankan","[""ios"",""learning"",""game"",""ios-game"",""about"",""the"",""lianliankan""]"
"rishigoel/2Pay","A Swift iOS app that helps make mobile retail shopping a more pleasant experience","[""swift"",""ios"",""mobile"",""app"",""ios-app"",""shopping"",""make"",""retail"",""a"",""helps"",""swift-ios""]"
"stevekohls/AccessibilityDemo","This is a demo project for learning how to implement accessibility features in iOS.","[""project"",""this"",""accessibility"",""learning"",""demo"",""for"",""in"",""features"",""to"",""a"",""how"",""how-to""]"
"pond/bus_panda","Realtime bus information for Wellington, New Zealand","[""realtime"",""information"",""bus"",""new"",""for""]"
"seedante/iOS-ViewController-Transition-Demo","《iOS 视图控制器转场详解》配套 Demo","[""demo""]"
"GabrielMassana/SearchEmojiOnString-iOS","Category to search emojis on an NSString. The category allows to check if has emojis, the number of emoji, the range of the emojis and if the string consists entirely of emojis.","[""string"",""search"",""range"",""emojis"",""check"",""number"",""the"",""to"",""category"",""on"",""and"",""an""]"
"GetuiLaboratory/cordova-plugin-getuisdk","个推官方提供的推送SDK PhoneGap(Cordova) 插件（支持 Android & iOS）","[""android""]"
"petroakzhygitov/nest-ios-sdk","SDK for the Nest API on iOS [Unofficial]","[""sdk"",""ios"",""api"",""nest"",""for"",""the"",""on""]"
"alibaba/LuaViewSDK","A cross-platform framework to build native, dynamic and swift user interface - 强大轻巧灵活的客户端动态化解决方案","[""swift"",""interface"",""user-interface"",""dynamic"",""cross-platform"",""build"",""framework"",""user"",""to"",""a"",""and""]"
"SaladLab/Unity3D.UselessAttributeStripper","Useless attribute stripper for IL2CPPed executable. It will help for reducing app size for iOS.","[""size"",""app"",""for"",""it"",""help"",""will""]"
"taskworld/openssl-mobile","Openssl for iOS and Android","[""ios"",""android"",""openssl"",""for"",""and""]"
"ThePhD/sol2","Sol3 (sol2 v3.0) - a C++ <-> Lua API wrapper with advanced features and top notch performance - is here, and it's great! Documentation:","[""api"",""performance"",""c++"",""lua"",""wrapper"",""api-wrapper"",""with"",""features"",""advanced"",""notch"",""a"",""and"",""top""]"
"Deliverydotcom/ReactNativeHybridExample","React Native in an Existing iOS App. Delivered.","[""ios"",""react-native"",""native"",""react"",""in"",""an""]"
"jpush/jmessage-phonegap-plugin","JiGuang's officially supported JMessage PhoneGap/Cordova plugin (Android & iOS). 极光官方支持的 IM PhoneGap/Cordova 插件。","[""plugin"",""im"",""jmessage""]"
"mike4aday/SwiftlySalesforce","The Swift-est way to build native mobile apps that connect to Salesforce.","[""mobile"",""native"",""build"",""connect"",""apps"",""the"",""to"",""mobile-apps""]"
"pbradshawusc/NavGrid","iOS Grid-Style Navigation Controller with swipe navigation","[""ios"",""swipe"",""navigation"",""controller"",""with"",""navigation-controller""]"
"Yukaii/kaif-ios",":small_red_triangle:An iOS client for kaif.io made with React Native!","[""ios"",""client"",""react"",""for"",""with"",""made"",""ios-client""]"
"zhengwenming/CountDown","iOS倒计时，60s验证码倒计时，cell中倒计时，后台给的时间戳倒计时，全部适合。比如：离活动结束还有   0天 01: 14: 59","[]"
"garethpaul/iHeartRating","Simple Ratings View for iOS enabling you to use any image as a rating e.g. hearts, stars, pigeons etc.","[""ios"",""image"",""view"",""simple"",""rating"",""for"",""ratings"",""as"",""to"",""a"",""any""]"
"apksafe/Bugrpt-iOS","Bugrpt iOS SDK - 网易云捕:","[""sdk"",""ios"",""ios-sdk""]"
"zmx6999/musicplayer","iOS音乐播放器源码","[]"
"MacPu/BluetoothMacAddressDemo","这是一个iOS获取蓝牙Mac地址的例子，苹果官方并没有提供获取蓝牙Mac地址的方法，这个例子是基于MPBluetoothKit写的","[]"
"keyboardmen/walkshopper","walkshopper的iOS客户端","[]"
"EthanArbuckle/PrettyRespring","Make resprings prettier! This tweak replaces the normal apple logo you see during a respring with whatever was last being shown on screen. If you respring while on the HomeScreen, you'll continue to see a static image of the HomeScreen until SpringBoard is fully launched. If SpringBoard crashes while you are browsing Safari, you'll get a still snapshot of Safari while SpringBoard boots back up. This tweak works best when iOS's built in respring method is used, but also works with crashes, and killalls (SIGTERM, SIGKILL, etc). Compatible with iPhones and iPads running iOS 9","[""ios"",""image"",""get"",""safari"",""static"",""snapshot"",""this"",""back"",""homescreen"",""apple"",""crashes"",""works"",""best"",""with"",""in"",""running"",""the"",""make"",""compatible"",""to"",""on"",""logo"",""a"",""and"",""method"",""tweak"",""springboard"",""ios-9""]"
"wangyoucao577/MyTinyTests","学习时写的一些简单的小例子或自动化使用的一些小工具集合, 包含c, c++,  c#, JavaScript, python2/3, golang, Lua, linux bash, windows bat等各种语言的实现, 平台含Windows, Linux, macOSX, iOS, Android等. 尝试用最合适的而不是最熟悉的方法解决问题.","[""linux"",""windows""]"
"Finb/V2ex-Swift","An iOS client written in Swift for V2EX","[""swift"",""ios"",""client"",""v2ex"",""for"",""in"",""an"",""ios-client""]"
"jessesquires/PresenterKit","Custom presenters and better view controller presentation for iOS","[""ios"",""view"",""controller"",""custom"",""for"",""presentation"",""and"",""view-controller""]"
"CatchZeng/CATClearProjectTool","Clear objective-c project unused classes.","[""objective-c"",""project"",""clear"",""unused""]"
"redbooth/react-native-auto-updater","A library to manage dynamic updates to React Native apps. Available as an NPM Package for iOS and Android.","[""ios"",""react-native"",""native"",""package"",""dynamic"",""updates"",""npm"",""library"",""react"",""npm-package"",""for"",""as"",""to"",""a"",""manage"",""and"",""an""]"
"maximbilan/iOS-MapKit-Tutorial","iOS MapKit Getting Started","[""ios"",""mapkit"",""getting-started"",""ios-mapkit""]"
"JonnyBGod/react-native-eventsource","A react-native component for EventSource: Server-Sent Events for iOS and Android","[""ios"",""android"",""react-native"",""events"",""component"",""for"",""a"",""and""]"
"petrosDemetrakopoulos/PSDCell","A simple custom cell for iOS","[""ios"",""cell"",""custom-cell"",""simple"",""custom"",""for"",""a""]"
"MxABC/LBXAlertAction","UIAlertView、UIActionSheet、UIAlertController封装，根据不同iOS版本选择对应的方法","[]"
"ChrisWphoto/infinity-mirror","IOS App & Arduino Code for Led Matrix","[""ios"",""arduino"",""matrix"",""led"",""app"",""ios-app"",""for"",""code""]"
"jnutting/SketchyKit","A framework for making sketchy iOS designs.","[""ios"",""framework"",""for"",""a""]"
"orangins/OKDriveSDK_IOS","OKDriveSDK - iOS","[""ios""]"
"icapps/ios-crash-reporter","The iCapps crash reporter iOS component.","[""ios"",""crash"",""the"",""reporter""]"
"minjoongkim/iOS9-Contacts.framework-AddressBook-Sample","AddressBook Sample","[""addressbook"",""sample""]"
"CharmingLee/QRCodeController","IOS下使用AVFoundation实现条形码和二维码扫描","[]"
"greengrowapps/GGRest","A small iOs library to make easy connect to a REST webservice","[""ios"",""rest"",""connect"",""library"",""ios-library"",""easy"",""webservice"",""small"",""make"",""to"",""a""]"
"Naville/WTFJH","One-step iOS binary runtime instrumentation for the lazy ones","[""ios"",""instrumentation"",""runtime"",""binary"",""lazy"",""for"",""the""]"
"phyphox/phyphox-ios","Physical Phone Experiments (iOS app)","[""phone"",""experiments"",""physical""]"
"FlexMonkey/CoreImageHelpers","Syntactic sugar for displaying CIImage using OpenGL and grabbing CIImages from iOS cameras","[""ios"",""ciimage"",""opengl"",""for"",""from"",""using"",""cameras"",""and"",""sugar"",""syntactic-sugar""]"
"heemoe/ffmpeg_ios","A ffmeg demo use objective c and swfit mixed","[""objective-c"",""c"",""demo"",""a"",""and"",""objective"",""swfit""]"
"spacewideweb/IOS-TinderStyleSwipeSample","Customized repeatViewController and swipe functions are included. ","[""swipe"",""customized"",""functions"",""and""]"
"friggog/Fingal","Animated icon theming platform for iOS 8 & 9","[""ios"",""platform"",""theming"",""animated"",""icon"",""for"",""8""]"
"Sankra/Xnapshot","Automated, localized screenshots of your iOS app on every device using C#.","[""ios"",""device"",""app"",""ios-app"",""screenshots"",""on"",""using"",""localized""]"
"sotozaki/SOTProgressHUD","SOTProgressHUD is a lightweight progress HUD for iOS app in Swift2.0.","[""ios"",""progress"",""app"",""ios-app"",""lightweight"",""hud"",""for"",""in"",""progress-hud"",""a""]"
"Lickability/PinpointKit","Send better feedback","[""send"",""feedback""]"
"martincik/react-native-hockeyapp","HockeyApp integration for React Native with Android and iOS support","[""ios"",""android"",""react-native"",""native"",""integration"",""hockeyapp"",""react"",""for"",""with"",""support"",""and""]"
"xiaofei86/XFAssistiveTouch","Assistive Button imitate the iOS system AssistiveTouch","[""ios"",""button"",""system"",""imitate"",""the"",""assistivetouch"",""assistive""]"
"blkbrds/realms-ios","Safe method for Realm","[""realm"",""safe"",""for"",""method""]"
"liuhong1happy/react-native-2048","React Native 2048 Game","[""react-native"",""native"",""react"",""game"",""2048"",""react-native-2048"",""2048-game""]"
"indevizible/EasyTransition","EasyTransition is a simple library for make a transition in iOS written in Swift.","[""ios"",""transition"",""library"",""simple"",""for"",""in"",""make"",""a""]"
"ryouaki/Cordova-Plugin-Photos","This plugin is used for get photo from ios device.","[""ios"",""get"",""this"",""photo"",""plugin"",""for"",""from""]"
"wibosco/ConvenientFileManager","A suite of categories to ease using (NS)FileManager for common tasks.","[""categories"",""common"",""for"",""to"",""using"",""a"",""ease"",""suite""]"
"rayfix/SimplePopup","Simple modal popup demo for iOS","[""ios"",""popup"",""simple"",""modal"",""demo"",""for""]"
"dji-sdk/iOS-Bridge-App","The source code of DJI Bridge App project","[""project"",""app"",""bridge"",""source"",""source-code"",""code"",""the"",""dji""]"
"dlcowen/FSEventsParser","Parser for OSX/iOS FSEvents Logs","[""logs"",""parser"",""for""]"
"pauljt/BleBrowser","IOS WebBluetooth Polyfill","[""ios"",""polyfill""]"
"udark/underdark-cocoa","Bluetooth peer-to-peer mesh networking for iOS","[""ios"",""bluetooth"",""networking"",""mesh"",""for"",""peer-to-peer""]"
"CoolBitX-Technology/coolwallet-ios","CoolWallet iOS app","[""ios"",""app"",""ios-app""]"
"e-sites/Bluetonium","Bluetooth mapping in Swift","[""swift"",""bluetooth"",""mapping"",""in""]"
"myflashlab/inAppPayments-ANE","Identical in-app-billing and in-app-purchase Air Native Extension for Android and iOS","[""ios"",""android"",""in-app-purchase"",""in-app-billing"",""native"",""air"",""for"",""extension"",""native-extension"",""air-native-extension"",""and""]"
"joinspontaneous/react-native-loading-spinner-overlay",":barber: React Native loading spinner overlay","[""react-native"",""spinner"",""native"",""loading"",""overlay"",""react"",""loading-spinner""]"
"schmidt/cordova-ios-iframe-example","Example project created to narrow down a problem with cordova-ios","[""project"",""cordova-ios"",""example-project"",""example"",""with"",""down"",""to"",""a""]"
"tangqi92/MyOne","【已不再维护】精仿《一个》 ONE for iOS","[""ios"",""for"",""one""]"
"Insfgg99x/SlideToShowLeftMenu","UITableView的左滑自定义多菜单Demo，兼容iOS 7","[]"
"guillermo-moran/Photobomb","Photo editing app for iOS","[""ios"",""photo"",""app"",""for"",""photo-editing"",""editing""]"
"32Beat/RMSAudio_v0","Objective-C audio engine for OSX and iOS","[""objective-c"",""ios"",""audio"",""osx"",""engine"",""for"",""and""]"
"ATLASMobileMakers/AppResources","iOS and Android mobile app examples and resources","[""ios"",""android"",""mobile"",""resources"",""app"",""mobile-app"",""examples"",""android-mobile-app"",""and""]"
"Grozy/FMPlayer","一个简单的二次元电台app for iOS","[""ios"",""for""]"
"linkedin/LayoutTest-iOS","Write unit tests which test the layout of a view in multiple configurations","[""layout"",""view"",""tests"",""write"",""test"",""unit-tests"",""multiple"",""in"",""the"",""unit"",""a""]"
"mercadopago/px-ios","Mercado Pago's Official iOS SDK","[""sdk"",""ios"",""ios-sdk"",""official""]"
"Karumi/KataSuperHeroesIOS","Super heroes kata for iOS Developers. The main goal is to practice UI Testing.","[""ios"",""ui"",""practice"",""super"",""kata"",""for"",""the"",""to"",""main"",""goal""]"
"xinxibin/DouBan-iOS-","豆瓣iOS开源库列表 - 豆瓣iOS开源库列表，很多开源项目","[]"
"filestack/filestack-ios","Official iOS SDK for Filestack - API and content management system that makes it easy to add powerful file uploading and transformation capabilities to any web or mobile application.","[""sdk"",""ios"",""file"",""api"",""mobile"",""web"",""transformation"",""system"",""add"",""ios-sdk"",""management"",""content"",""management-system"",""easy"",""for"",""it"",""official"",""powerful"",""to"",""filestack"",""content-management-system"",""and"",""content-management"",""uploading"",""any""]"
"naoufal/react-native-passcode-auth","React Native authentication with iOS Passcode.","[""ios"",""authentication"",""react-native"",""native"",""react"",""with""]"
"nmahlangu/ios-programming-big-nerd-ranch","A repo for projects created with iOS Programming The Big Nerd Ranch Guide 5th Edition","[""ios"",""repo"",""guide"",""programming"",""projects"",""for"",""with"",""the"",""a"",""big"",""nerd"",""ranch""]"
"stfalcon-studio/uaroads_ios","UaRoads is a unique service for road condition monitoring. It provides safety and comfort to drivers. Project goal is to build routes through better roads with surface of higher quality. ","[""service"",""surface"",""build"",""project"",""routes"",""safety"",""for"",""it"",""with"",""to"",""a"",""and"",""goal""]"
"gydmercy/MQTTClient","A MQTT Client For iOS","[""ios"",""mqtt"",""client"",""mqtt-client"",""for"",""a""]"
"WowWeeLabs/REV-iOS-SDK","Complete iOS SDK and Demo project for WowWee R.E.V. (Robotic Enhanced Vehicles)","[""sdk"",""ios"",""project"",""demo"",""ios-sdk"",""for"",""complete"",""and""]"
"dvertovsek/iOS-PHP-JavaScript-QR-Code-Web-App","Web Application opens when user scans QR Code with iOS device (inspired by WhatsApp Web app)","[""ios"",""web"",""whatsapp"",""qr-code"",""device"",""application"",""web-application"",""qr"",""with"",""user"",""code"",""whatsapp-web"",""opens"",""ios-device"",""scans""]"
"celian-m/localizator","Download and format your Drive sheet to iOS or Android localized file","[""ios"",""android"",""file"",""download"",""drive"",""format"",""sheet"",""to"",""and"",""localized""]"
"fulldecent/FDBarGauge","The successor to F3BarGauge","[""the"",""to""]"
"califrench/Instagram","An Instagram API written in swift that can be used freely in iOS, OS X and Linux client and server applications. ","[""swift"",""api"",""linux"",""instagram"",""server"",""client"",""instagram-api"",""os"",""can"",""in"",""x"",""and"",""an""]"
"nowsecure/fsmon","monitor filesystem on iOS / OS X / Android / FirefoxOS / Linux","[""ios"",""android"",""linux"",""monitor"",""filesystem"",""os"",""x"",""on""]"
"adcentury/react-mobile-picker","An iOS like select box component for React","[""ios"",""select"",""react"",""component"",""for"",""like"",""box"",""an"",""ios-like""]"
"gitusrs/openssl-ios-build-shell-script","Build openssl with shell script-only support to use on iOS, and bitcode is supported.","[""bitcode"",""openssl"",""shell"",""build"",""with"",""support"",""to"",""on"",""and""]"
