"nameWithOwner","description","tag","newAdded","languages","topics"
"digit-srl/diAry-apps","Digital Arianna “diAry” mobile applications for iOS and Android.","[""ios"",""mobile"",""applications""]","[""ios"",""mobile"",""applications""]","[""Kotlin"",""Ruby"",""Swift"",""Objective-C"",""Dart""]","[""covid-19"",""flutter""]"
"featurehub-io/featurehub","FeatureHub - cloud native feature flags, A/B testing and remote configuration service. Real-time streaming feature updates. Provided with Java, JavaScript, Go, .Net, Android and Flutter SDKs. ","[""android"",""configuration"",""testing"",""native"",""cloud"",""real-time"",""flutter"",""streaming"",""remote""]","[""android"",""configuration"",""testing"",""native"",""cloud"",""real-time"",""flutter"",""streaming"",""remote""]","[""Dart"",""HTML"",""Shell"",""Java"",""Groovy"",""TSQL"",""Gherkin"",""Dockerfile"",""TypeScript"",""Kotlin"",""Swift"",""Objective-C"",""C#""]","[""feature-flags"",""feature-toggle"",""feature-toggling-api"",""features"",""feature-toggles"",""a-b-testing"",""a-b-test"",""remote-config"",""cloud-native"",""split-testing"",""feature-flagging"",""feature-service"",""feature-toggling"",""feature-flag"",""feature-flipping"",""feature-toggle-service""]"
"maiyao1988/elf-dump-fix","Utils use to dump android ELF from memory and do some fix including the ELF section header rebuilding","[""android"",""memory"",""header"",""elf"",""utils""]","[""memory"",""header"",""utils""]","[""CMake"",""Makefile"",""C++"",""C"",""Java"",""Shell""]","[""elf"",""memory-dump"",""reverse-engineering"",""android"",""elf-dump""]"
"twho/material-design-widgets-lite-ios","Material design styled buttons, vertically arranged buttons, activity loader and loading button.","[""material-design"",""loading"",""loader"",""material"",""design"",""activity""]","[""loading"",""loader"",""material"",""design"",""activity""]","[""Ruby"",""Swift"",""Objective-C""]","[""ios"",""swift"",""material-design"",""material-ui"",""cocapods""]"
"jasminnisic/BITalinoBLE-iOS","BITalino (r)evolution (BITalino 2) example iOS application that uses Objective-C SDK from BITalinoBLE.framework (included in the project).","[""objective-c"",""sdk"",""ios"",""application"",""example"",""ios-application""]","[""objective-c"",""sdk"",""ios"",""application"",""example"",""ios-application""]","[""Objective-C""]","[]"
"amap-demo/android_moving_point","移动点的轨迹动态展示","[]","[]","[""Java""]","[]"
"AbhishekChd/NewsApp","News app based on NewsAPI","[""app"",""news"",""newsapi""]","[""app""]","[""Java""]","[""android"",""news"",""newsapi"",""google-gson"",""news-apps"",""retrofit"",""databinding"",""glide"",""udacity-android-nanodegree""]"
"didikee/CommonDependence","一个公共依赖的拓展 Android 原生组件的仓库","[""android""]","[""android""]","[""Java""]","[]"
"Andrew-Chen-Wang/mobile-auth-example","Native iOS and Android + Django Backend Server example for Auth using JWT","[""ios"",""android"",""server"",""native"",""backend"",""django"",""jwt"",""example"",""auth""]","[""server"",""native"",""backend"",""example"",""auth""]","[""Swift"",""Python"",""Java"",""Kotlin""]","[""django"",""ios"",""android"",""jwt"",""sample"",""django-rest-framework"",""drf"",""authentication"",""swift"",""kotlin"",""login""]"
"TeamWin/android_device_google_wahoo","For building TWRP for Pixel 2 and 2XL ONLY!","[""pixel"",""twrp""]","[""pixel"",""twrp""]","[""Makefile"",""C"",""Objective-C"",""C++"",""Shell"",""Python""]","[]"
"mattwyskiel/JuiceUI","A small collection of useful SwiftUI wrappers for common views in the iOS SDK.","[""ios"",""swiftui"",""common"",""views"",""collection""]","[""common"",""views"",""collection""]","[""Swift""]","[""swiftui"",""ios"",""swift""]"
"ZuoerdingCoder/ZEDStatisticalAnlysisCategory","一个使用AOP实现IOS应用内响应事件相关数据统计的分类","[]","[]","[""Objective-C"",""Ruby""]","[]"
"kmycode/storycanvas-csharp","Free story editor for Windows Desktop, Android and iOS","[""ios"",""android"",""editor"",""windows"",""free"",""story""]","[""editor"",""windows"",""free"",""story""]","[""C#""]","[""storycanvas"",""android"",""ios"",""uwp"",""xamarin-forms""]"
"FaizanDurrani/UnityBackgroundAudio"," Play audio on mobile even when the game is suspended in the background","[""background"",""audio"",""mobile"",""game"",""play""]","[""background"",""mobile"",""game"",""play""]","[""Java"",""Swift"",""Objective-C++"",""C#"",""Objective-C""]","[""unity"",""android"",""ios"",""csharp"",""audio"",""native""]"
"mikaelho/multipeer","Pythonista class for iOS multipeer connectivity","[""ios"",""class"",""multipeer-connectivity"",""connectivity"",""pythonista""]","[""ios"",""class"",""multipeer-connectivity"",""connectivity"",""pythonista""]","[""Python""]","[]"
"Automatik/MultiLevelAdapter","Android library to allow collapsing and expanding items in RecyclerView's Adapter on multiple levels","[""android"",""adapter"",""android-library"",""items"",""library"",""multiple""]","[""items"",""library"",""multiple""]","[""Java""]","[""recyclerview-adapter"",""android-library"",""android"",""adapter"",""collapse"",""level"",""item"",""expandable""]"
"selvypen/math-recognition-example-android","This example app shows how to recognize mathematical expressions using the Selvy Pen SDK for Math on Android.","[""sdk"",""this"",""math"",""app"",""example"",""example-app""]","[""sdk"",""this"",""app"",""example"",""example-app""]","[""Java""]","[""math-recognition"",""handwriting-recognition"",""android"",""math""]"
"giaynhap/-Codeeditor","Android CodeEditor","[""android""]","[""android""]","[""Java""]","[]"
"lyft/lyft-android-sdk","Public Lyft SDK for Android","[""sdk"",""android""]","[""sdk"",""android""]","[""Java""]","[""lyft""]"
"saumitrasapre/MyHome","Android app for comprehensive community management in residential complexes","[""android"",""android-app"",""app"",""management"",""community""]","[""android-app"",""app"",""management"",""community""]","[""Java""]","[""android"",""community-management"",""volley-api"",""firebase-mlkit"",""firebase"",""qrcode-scanner"",""upi-payment"",""myhome"",""face-detection""]"
"limitfan/tiny-dnn-android","tiny dnn android, dependency-free deep learning framework in C++11 running on Android","[""android"",""c++11"",""deep-learning"",""learning"",""framework""]","[""android"",""c++11"",""deep-learning"",""learning"",""framework""]","[""CMake"",""Java"",""C++"",""Protocol Buffer"",""C""]","[]"
"knezmilos13/prettyboxformatter","A library for formatting/serializing text into boxes drawn using UTF-8 characters.","[""text"",""utf-8"",""library""]","[""text"",""utf-8"",""library""]","[""Java""]","[""java"",""android"",""logging"",""formatter"",""ascii-art""]"
"RevenueCat/purchases-flutter","Flutter plugin for in-app purchases and subscriptions. Supports iOS, Android, and web.","[""in-app"",""flutter"",""flutter-plugin"",""plugin""]","[""in-app"",""plugin""]","[""Java"",""Ruby"",""Objective-C"",""Dart"",""C"",""Swift"",""Shell"",""Kotlin""]","[""ios"",""android"",""stripe"",""iap"",""flutter"",""flutter-plugin""]"
"fabcira/neverEndingAndroidService","An example showing how to build a never ending background service in Android ","[""android"",""background"",""service"",""build"",""background-service"",""example""]","[""android"",""background"",""service"",""build"",""background-service"",""example""]","[""Java""]","[]"
"wahyouwebid/Belajar-Mengaji-Android","Aplikasi belajar mengaji berbasis android","[""android""]","[""android""]","[""Java""]","[]"
"ananth10/ScrollingTechniques-Android","This sample application shows about material scrolling techniques","[""this"",""material"",""sample"",""application"",""scrolling"",""about""]","[""this"",""material"",""sample"",""application"",""scrolling"",""about""]","[""Java""]","[]"
"hpedrorodrigues/ImageSearch","A small image search app","[""image"",""search"",""app""]","[""image"",""search"",""app""]","[""Java""]","[""android"",""flickr"",""bing"",""pixabay"",""google-custom-search"",""imgur"",""giphy""]"
"lany192/tensorflow-lite-keras-mnist-android","TensorFlow Keras训练手写数字识别集Mnist，生成tflite模型文件并在Android上使用示例","[""tensorflow""]","[]","[""Java"",""Python""]","[""tensorflow"",""keras"",""mnist"",""android"",""tflite"",""lite"",""tensorflow-lite""]"
"mapierce/Loadable","Make any UIView or subclass a UIProgressView","[""uiview"",""subclass"",""uiprogressview""]","[""uiview"",""subclass"",""uiprogressview""]","[""Ruby"",""Swift""]","[""swift"",""ios"",""cocoapods""]"
"tombayley/DropDownTipsList","Android Drop Down Tips List: A library for showing app tips on Android","[""android"",""library"",""app"",""drop"",""tips""]","[""android"",""library"",""app"",""drop"",""tips""]","[""Kotlin""]","[]"
"allen1989127/kill-you-power-consumer","已经受不了国内大量应用在退出后开启大量服务进程，并且不断唤醒手机进行网络通信，对于手机的耗电量简直要了命，特开源本针对Android的应用","[]","[]","[""Java""]","[]"
"StevenMccracken/Dropp","A location-based social media app for iOS and Android","[""ios"",""android"",""media"",""app"",""social-media"",""social"",""location-based""]","[""ios"",""android"",""media"",""app"",""social-media"",""social"",""location-based""]","[""JavaScript"",""Swift"",""Ruby"",""Objective-C"",""Shell"",""C""]","[]"
"Piasy/AndroidTDDBootStrap-base","Base part of AndroidTDDBootStrap","[""base""]","[""base""]","[""Java""]","[]"
"longtaoge/SelectName","乡吧佬起名系统，因为爱女选名费尽周折，特意写本程序以博一乐！","[]","[]","[""Java""]","[""android"",""android-app"",""android-application"",""android-studio""]"
"shixinzhang/LearnAndroid","学习新知识的过程中练习的项目","[]","[]","[""JavaScript"",""Shell"",""Java"",""HTML""]","[""android"",""practice""]"
"RivoLink/Aruco-Android","OpenCV Aruco for Android ","[""android"",""opencv""]","[""android"",""opencv""]","[""Java""]","[]"
"mingjunli/AndroidDevResources","Android App Dev Resources","[""android"",""resources"",""android-app"",""app"",""dev""]","[""android"",""resources"",""android-app"",""app"",""dev""]","[]","[]"
"jonathas/openstf-arm7-docker","Smartphone Test Farm using Docker on Raspberry Pi","[""smartphone"",""docker"",""raspberry-pi"",""test"",""raspberry""]","[""smartphone"",""test"",""raspberry""]","[]","[""docker"",""openstf"",""raspberry-pi"",""smartphone-test-farm"",""rethinkdb"",""adb"",""android""]"
"MacKentoch/reactNativeBeaconExample","React-Native Beacon example (medium article related)","[""react-native"",""beacon"",""example"",""article""]","[""example"",""article""]","[""Python"",""Java"",""JavaScript"",""Objective-C""]","[""react-native"",""beacon"",""ios"",""android""]"
"luizmello/MoneyControlApp-public","Android App for training MVP Architecture, Dagger2, RxJava2, Retrofit2, Firebase ...","[""android"",""firebase"",""mvp"",""android-app"",""app"",""training""]","[""android"",""firebase"",""mvp"",""android-app"",""app"",""training""]","[""Java""]","[]"
"str818/Answering-system","Android答题系统","[]","[]","[""Java""]","[]"
"itrenjunhua/BluetoothChatDemo","Android蓝牙聊天Demo","[]","[]","[""Java""]","[]"
"gizmosachin/Daydream","🌀  iOS Daydream View controller support","[""ios"",""view"",""controller"",""daydream"",""support""]","[""ios"",""view"",""controller"",""daydream"",""support""]","[""Ruby"",""Swift""]","[]"
"Jacksgong/grpc-android-kotlin","Simple grpc Server/Android written in kotlin, protobuf generated java files","[""java"",""grpc"",""simple"",""files"",""protobuf""]","[""java"",""grpc"",""simple"",""files"",""protobuf""]","[""Kotlin"",""Java"",""Shell""]","[]"
"dom96/gamelight","A set of simple modules for writing 2D games targeting JS/Android/iOS in Nim.","[""set"",""2d-games"",""2d"",""simple"",""games"",""modules""]","[""set"",""2d-games"",""2d"",""simple"",""games"",""modules""]","[""Nim""]","[]"
"masterwok/simple-vlc-player","An Android media player library powered by libVLC and Open Subtitles.","[""android"",""media-player"",""libvlc"",""media"",""library"",""player"",""open""]","[""media-player"",""media"",""library"",""player"",""open""]","[""Java"",""Kotlin""]","[""android"",""libvlc"",""vlc"",""vlc-libvlc"",""vlc-android""]"
"nicnocquee/fastgrant","Fastlane actions to grant iOS permissions in iPhone Simulator.","[""iphone"",""ios"",""permissions"",""ios-permissions"",""fastlane"",""actions""]","[""iphone"",""ios"",""permissions"",""ios-permissions"",""fastlane"",""actions""]","[""Swift"",""Ruby""]","[]"
"onurcelikeng/Horoscoper","Horoscope project for iOS with Swift 4.","[""swift"",""ios"",""project""]","[""project""]","[""Swift"",""Ruby""]","[""swift"",""xcode"",""ios"",""imessage-sticker"",""ios-widget"",""sirikit""]"
"chajuss/WebSocketTest","Test application for using Websocket server and client on iOS","[""ios"",""server"",""websocket"",""client"",""application"",""test""]","[""ios"",""server"",""websocket"",""client"",""application"",""test""]","[""Swift"",""Ruby"",""Objective-C""]","[]"
"alonsd/Android-Tinder-Stack","Tinder-like card library, built for Android using Java. ","[""android"",""card""]","[""android"",""card""]","[""Java""]","[]"
"remirobert/foursquare-kit-ios","Foursquare Kit is a native SDK to include Foursquare API inside mobile apps.","[""sdk"",""api"",""mobile"",""native"",""foursquare"",""include"",""kit""]","[""sdk"",""api"",""mobile"",""native"",""foursquare"",""include"",""kit""]","[""Swift"",""Objective-C"",""Ruby""]","[""swift4"",""foursquare-api""]"
"Miha-x64/Lychee","The most complete and powerful data-binding library and persistence infra for Kotlin 1.5, Android & Splitties Views DSL, JavaFX & TornadoFX, JSON, JDBC & SQLite,  HTTP, SharedPreferences.","[""android"",""jdbc"",""kotlin"",""javafx"",""data-binding"",""persistence"",""library"",""views""]","[""android"",""library"",""views""]","[""Kotlin"",""Java""]","[""reactive"",""properties"",""mapping"",""data-binding"",""subjects"",""kotlin"",""persistence"",""javafx"",""jdbc"",""sqlite"",""json"",""hacktoberfest""]"
"thiagozg/Watched-MVVM-Android-Architecture","Android Native Application, used: MVVM Architecture, Android Architecture Lifecycle API; Integration OMDB API (Series/Filmes); Dagger2.14; Retrofit2; RxJava2; GSON; Glide; Constraint Layout; Android Support Libs…","[""android"",""api"",""native"",""integration"",""lifecycle"",""mvvm"",""architecture"",""android-architecture-lifecycle"",""android-architecture"",""android-support"",""constraint"",""android-native"",""support""]","[""android"",""api"",""native"",""integration"",""lifecycle"",""mvvm"",""architecture"",""android-architecture"",""constraint"",""android-native"",""support""]","[""Kotlin"",""Java""]","[""android-application"",""android-app"",""mvvm-architecture"",""mvvm-android"",""kotlin-android"",""dagger2-mvvm"",""dagger2"",""rxandroid2"",""rxkotlin-android"",""constraint-layout"",""omdb-api"",""android-support"",""kotlin"",""android-architecture-lifecycle""]"
"NisanurBulut/CalculateMachineApp","Klasik hesap makinesinin yapabildiği dört işlemi yapabilir.Farklılığı, kodlanmasındaki yöntemdir.İşlem önceliğini, her hangi bir hazır yapı ile değil geliştirdiğim algoritma ile sağlar.Geliştirdiğim ilk android uygulamadır.","[""android""]","[""android""]","[""Java""]","[]"
"OpenTracksApp/OpenTracks","OpenTracks is a sport tracking application that completely respects your privacy.","[""tracking"",""application""]","[""application""]","[""Java"",""Ruby"",""Shell""]","[""android"",""sport"",""tracking"",""heartrate"",""bluetooth-low-energy"",""outdoor"",""offline"",""gps"",""privacy""]"
"weichao66666/face-detection","Eclipse 导入 OpenCV 的 face-detection（人脸识别）工程","[""eclipse"",""opencv""]","[]","[""Makefile"",""C++"",""Java""]","[""eclipse"",""opencv"",""face-detection"",""ndk"",""android"",""jni"",""cpp"",""face-recognition""]"
"bizz84/firebase-login-flutter","Sample login and registration app with Firebase built in Flutter.","[""firebase"",""registration"",""app"",""login"",""sample""]","[""registration"",""app"",""sample""]","[""Java"",""Ruby"",""Objective-C"",""Dart""]","[""flutter"",""dart"",""login"",""firebase"",""ios"",""android""]"
"urbandroid-team/sleep-csv-to-json","A tool to convert Sleep as Android-exported CSV with sleep records to a .json file","[""file"",""csv"",""sleep"",""tool""]","[""file"",""csv"",""sleep"",""tool""]","[""PHP""]","[]"
"TannerGabriel/android-sound-recorder","A simple android sound recorder developed using Kotlin","[""android"",""kotlin"",""simple"",""sound"",""recorder""]","[""simple"",""sound"",""recorder""]","[""Kotlin""]","[""android"",""kotlin"",""kotlin-android"",""soundrecord"",""audio""]"
"gabor-meszaros/aad-certification-faq","Unofficial Google Associate Android Developer (AAD) Certification FAQ","[""android"",""google"",""unofficial"",""developer""]","[""unofficial"",""developer""]","[]","[""udacity"",""google-aad-certification"",""google"",""android"",""certification"",""faq""]"
"keith222/TAIWAN-BASEBALL","TAIWAN BASEBALL APP Android Version","[""android"",""android-version"",""version"",""app""]","[""android"",""android-version"",""version"",""app""]","[""Java""]","[]"
"liujinlongxa/IPAArchiveScript","A shell script uses for build ios app (.ipa) and distribute to FTP server","[""ios"",""server"",""shell"",""build"",""ftp"",""app"",""script"",""ios-app"",""shell-script""]","[""ios"",""server"",""shell"",""build"",""ftp"",""app"",""script"",""ios-app"",""shell-script""]","[""Shell""]","[]"
"adrianalin/android-open-accessory-demo","Short demo aoa android app comunicates with pthon script on laptop","[""android"",""android-app"",""app"",""script"",""demo""]","[""android"",""android-app"",""app"",""script"",""demo""]","[""Java"",""Python""]","[]"
"maneeshaindrachapa/sHome","Bluetooth Serial Interface to Send data to microcontrollers","[""interface"",""bluetooth"",""send"",""data"",""serial""]","[""interface"",""bluetooth"",""send"",""data"",""serial""]","[""TypeScript"",""HTML"",""CSS"",""JavaScript""]","[""ionic"",""android"",""apk"",""native"",""embedded-systems"",""ios""]"
"levieggert/Seek","An iOS (Swift) library for animating UIView alpha, transforms, and constraints between from and to values","[""ios"",""uiview"",""constraints"",""library""]","[""uiview"",""constraints"",""library""]","[""Ruby"",""Objective-C"",""Swift""]","[""swift"",""animation"",""ios"",""uikit""]"
"demchenkoalex/react-native-module-template","A starter for the React Native library written in TypeScript, with linked example project and optional native code in Swift and Kotlin.","[""swift"",""react-native"",""native"",""optional"",""project"",""native-code"",""library"",""react"",""example-project"",""example"",""starter"",""react-native-library"",""code""]","[""native"",""optional"",""project"",""native-code"",""library"",""react"",""example-project"",""example"",""starter"",""react-native-library"",""code""]","[""JavaScript"",""Ruby"",""Swift"",""Objective-C"",""TypeScript"",""Starlark"",""Kotlin""]","[""react-native"",""typescript"",""template"",""boilerplate"",""ios"",""android"",""kotlin"",""swift"",""xcode""]"
"Shipr-Hub/Shipr-Community-Android","Shipr Social is the Multi Platform Chat Project for Developers","[""project"",""chat"",""platform"",""social"",""multi-platform"",""multi""]","[""project"",""chat"",""platform"",""social"",""multi-platform"",""multi""]","[""Java""]","[""android-application"",""developer-tools"",""android"",""github"",""android-development"",""ide""]"
"zhaoya188/completed-load-webview","Listen for WebView page loading fully completed. 监听WebView加载完成。","[""webview"",""loading"",""page""]","[""loading"",""page""]","[""Java""]","[""webview"",""android""]"
"Frog-Frog/PageMaster"," PageMaster is a wrapper class for easier use of UIPageViewController.","[""class"",""wrapper""]","[""class"",""wrapper""]","[""Swift"",""Ruby"",""Objective-C""]","[""ios"",""swift"",""uikit"",""uipageviewcontroller""]"
"wstclzy2010/iOS-debugserver","including iOS10/iOS12/iOS13/iOS14 debugserver","[]","[]","[]","[]"
"oaup/ncnn-android-ultraface","ncnn for android face detector","[""android"",""face"",""detector"",""ncnn""]","[""android"",""face"",""detector"",""ncnn""]","[""Java"",""Makefile"",""C++""]","[]"
"timsearle/Euclid","Great-circle mathematics helper library for platforms using Swift -","[""swift"",""library"",""helper"",""mathematics""]","[""library"",""helper"",""mathematics""]","[""Swift""]","[""swift"",""carthage"",""cllocation"",""cllocationcoordinate2d"",""great-circle"",""ios"",""maps"",""corelocation""]"
"sohobloo/SmilingRex","An iOS demo of face recognition and smiling detection with Apple API / Face++ / OpenCV","[""ios"",""api"",""opencv"",""detection"",""face-recognition"",""face"",""demo"",""recognition"",""apple"",""ios-demo""]","[""ios"",""api"",""opencv"",""detection"",""face-recognition"",""face"",""demo"",""recognition"",""apple"",""ios-demo""]","[""Objective-C"",""Objective-C++"",""C++"",""C""]","[]"
"Gamelab-Istanbul/NgdroidApp","Android framework for game programming","[""android"",""game"",""framework"",""programming"",""android-framework""]","[""android"",""game"",""framework"",""programming"",""android-framework""]","[""Java""]","[]"
"FarshidABZ/TextViewFlowLayout","Whatsapp and telegram message layout","[""layout"",""whatsapp"",""telegram"",""message""]","[""layout"",""message""]","[""Kotlin""]","[""android"",""textview"",""chat"",""whatsapp"",""telegram"",""android-ui-widgets"",""framelayout""]"
"Vegen/SmartCampus","智慧校园Android客户端","[]","[]","[""Java""]","[]"
"min/Routes","pure-Swift based URL routing for iOS","[""ios"",""url"",""routing""]","[]","[""Swift"",""Objective-C"",""Ruby""]","[""ios"",""url"",""routing""]"
"wzslr321/flutter_guide","Flutter guide for newbies, which covers Widgets, Packages and assets, Routes, and State Management.","[""state"",""flutter"",""guide"",""packages""]","[""state"",""packages""]","[""Kotlin"",""Swift"",""Objective-C"",""Dart""]","[""flutter"",""dart"",""android"",""ios"",""mobile"",""guide""]"
"kamalx/todooye","a minimalist todo list for Android and iOS","[""ios"",""android"",""list"",""todo""]","[""ios"",""android"",""list"",""todo""]","[""Kotlin"",""Swift"",""Objective-C"",""Dart""]","[]"
"YoungBoy0048/Android","TULINGX(图灵) Android VPN下载页  翻墙 代理 科学上网 外网 加速器 梯子 路由 ","[""android""]","[""android""]","[]","[""router"",""accelerator"",""vpn"",""censorship"",""gfw"",""circumvention""]"
"christian-mv/android-and-linux-openssl-binaries","This repository provides openssl pre-compiled dynamic libraries (i.e. libssl.so and libcrypto.so) for android architectures (i.e. armv7 and arm64) and linux desktop.","[""android"",""linux"",""openssl"",""dynamic"",""libraries"",""this"",""armv7"",""repository""]","[""android"",""linux"",""openssl"",""dynamic"",""libraries"",""this"",""armv7"",""repository""]","[]","[]"
"csicar/Ning","Network-Scanner for Android ","[""android""]","[""android""]","[""Kotlin"",""Go""]","[]"
"hackaru-app/hackaru","Simple, cross-platform time tracking application","[""time"",""cross-platform"",""tracking"",""application""]","[""time"",""cross-platform"",""tracking"",""application""]","[]","[""time-tracking"",""time-tracker"",""pwa"",""timer"",""ios"",""android"",""timetracker"",""desktop""]"
"AbhimanyuForiOS/ASVideoTrimmer","This video trimmer will allow you to trim video in given limit with beautiful iOS UI.","[""ios"",""video"",""this"",""trim"",""video-trimmer"",""beautiful""]","[""ios"",""video"",""this"",""trim"",""video-trimmer"",""beautiful""]","[""Swift""]","[]"
"shar0/iOS-Solidot","Solidot unofficial iOS App","[""ios"",""app"",""ios-app"",""unofficial""]","[""ios"",""app"",""ios-app"",""unofficial""]","[""Ruby"",""Swift""]","[]"
"Liamql/FragmentCollection","create your own collections from zhihu/quora, supporting offline searching and real-time fetching on android","[""android"",""offline"",""collections"",""real-time""]","[""offline"",""collections"",""real-time""]","[""Java""]","[""android"",""zhihu"",""model-view-presenter"",""mvp"",""dagger2"",""retrofit2"",""mvp-android"",""java"",""glide""]"
"trialy/trialy-android-sample","Sample Android app implementing the Trialy.io SDK","[""sdk"",""android"",""android-app"",""app"",""sample"",""sample-android""]","[""sdk"",""android-app"",""app"",""sample"",""sample-android""]","[]","[""android-library"",""trial"",""trial-period"",""android""]"
"BailunMobileDev/devComLib","【Bailun Mobile】Android - 开发使用的公共库集合","[]","[]","[""Java""]","[]"
"HamzaAnis/nano-crypt-conversion","A simple android app to convert nano crypto currency to US","[""android"",""currency"",""android-app"",""app"",""simple"",""crypto""]","[""android"",""currency"",""android-app"",""app"",""simple"",""crypto""]","[""Java""]","[""coinmarketcap""]"
"infobip/infobip-rtc-android","Infobip RTC SDK for Android","[""sdk"",""android"",""rtc""]","[""sdk"",""android"",""rtc""]","[]","[""video"",""webrtc"",""voip"",""phone-calls"",""infobip-rtc"",""audio""]"
"Foso/Sheasy","This an Android App that helps you share/manage your files on your Android Device through a WebInterface in the Browser - Built with Ktor and Kotlin-React","[""android"",""browser"",""this"",""device"",""ktor"",""android-app"",""app"",""android-device"",""files""]","[""browser"",""this"",""device"",""android-app"",""app"",""android-device"",""files""]","[""Kotlin"",""HTML"",""Java"",""CSS""]","[""ktor"",""react"",""kotlin"",""floss"",""kotlin-android"",""kotlin-react"",""android"",""kotlin-multiplatform"",""kotlin-js""]"
"YassinAJDI/MaterialJournal",":books: A journal application where in users can pen down their thoughts and feelings submitted for the GoogleAfiricaScholarship ""7 Days of code"" challlenge offered by Udacity and powered by Andela Learning Community (ALC).","[""learning"",""application"",""udacity"",""community"",""andela""]","[""learning"",""application"",""community""]","[""Java""]","[""android"",""material-design"",""alc"",""andela"",""udacity"",""note-taking"",""notes"",""alcwithgoogle3"",""mvvm"",""mvvm-architecture"",""room-persistence-library"",""android-application"",""databinding"",""firebase"",""firebase-authentication""]"
"jerolimov/flutter_alert","A Flutter package to simplify alert messages on Android (Material) and iOS (Cupertino).","[""ios"",""android"",""package"",""alert"",""flutter"",""messages"",""flutter-package""]","[""ios"",""android"",""package"",""alert"",""messages""]","[""Dart"",""Makefile""]","[""flutter"",""flutterandroid"",""flutterios"",""flutter-plugin"",""flutter-package"",""dart"",""dartlang""]"
"chinashiyu/gfw.press.android","GFW.Press新一代军用级高强度加密抗干扰网络数据高速传输软件安卓版","[]","[]","[""Java""]","[]"
"atuldev19/COVID19-Tracker-App","Android app designed to track the cases of pendemic Corona Virus worldwide using API","[""android"",""api"",""android-app"",""app"",""corona"",""virus""]","[""android"",""api"",""android-app"",""app"",""corona"",""virus""]","[]","[]"
"deepunyk/smvitmapp","SMVITM College Android Application","[""android"",""android-application"",""application"",""college""]","[""android"",""android-application"",""application"",""college""]","[""Java""]","[]"
"Karn/charter","Another chart library for Android.","[""library"",""chart""]","[""library"",""chart""]","[""Kotlin""]","[""charts"",""kotlin"",""kotlin-android"",""android"",""android-library"",""visualization""]"
"alibardide5124/CardViewPlus","A library to make animated CardView elevation in Android","[""android"",""elevation"",""cardview"",""library"",""animated""]","[""android"",""elevation"",""cardview"",""library"",""animated""]","[""Java"",""Kotlin""]","[]"
