"nameWithOwner","description","tag"
"jaydenxiao2016/AndroidFire","AndroidFire，一款新闻阅读 App框架，基于 Material Design + MVP + RxJava + Retrofit + Glide，基本涵盖了当前 Android 端开发最常用的主流框架，基于此框架可以快速开发一个app。","[""material-design"",""retrofit"",""android"",""mvp"",""rxjava"",""material"",""design""]"
"SpecialCyCi/AndroidResideMenu","The idea of ResideMenu is from Dribbble 1 and 2. It has come true and run in iOS devices. iOS ResideMenu This project is the RefsideMenu Android version. The visual effect is partly referred to iOS version of ResideMenu. And thanks to the authors for the above idea and contribution. ","[""ios"",""android"",""project"",""this"",""version"",""effect"",""dribbble""]"
"JackyAndroid/AndroidChromium","chrome browser of android version from chromium open project","[""android"",""project"",""browser"",""android-version"",""version"",""chromium"",""chrome"",""chrome-browser""]"
"junjunguo/android","Android application development","[""android"",""development"",""android-application""]"
"JackyAndroid/AndroidTVLauncher","This is a leanback style tv launcher(minSdkVersion 17)","[""this"",""leanback"",""tv"",""style""]"
"antoniolg/androidmvp","MVP Android Example","[""android"",""mvp"",""example"",""mvp-android"",""android-example""]"
"chrisbanes/Android-PullToRefresh","DEPRECATED","[""deprecated""]"
"daimajia/AndroidViewHover","An elegant way to show your menu or messages.","[""menu""]"
"Trinea/android-common","Android common lib, include ImageCache, HttpCache, DropDownListView, DownloadManager, Utils and so on","[""android"",""include"",""utils"",""common""]"
"wenmingvs/AndroidProcess","判断App位于前台或者后台的6种方法","[]"
"Freelander/Android_Data","Some Android learning materials, hoping to help you learn Android development.","[""android"",""learning""]"
"bmelnychuk/AndroidTreeView","AndroidTreeView. TreeView implementation for android","[""android"",""implementation""]"
"mapzen/android","Where you can find everything Android from Mapzen","[""android"",""mapzen""]"
"clarkehe/Android","Demo code and document","[""document"",""demo"",""code""]"
"pedrovgs/AndroidWiFiADB","IntelliJ/AndroidStudio plugin which provides a button to connect your Android device over WiFi to install, run and debug your applications without a USB connected.","[""android"",""button"",""usb"",""wifi"",""device"",""connect"",""plugin"",""android-device"",""debug""]"
"tianshaojie/AndroidFine","Android快速开发框架","[]"
"pchab/AndroidRTC","Android client for ProjectRTC - a WebRTC demo","[""android"",""webrtc"",""client"",""demo""]"
"VPNht/android","VPN.ht Android Application. Based on ics-openvpn.","[""android""]"
"Blankj/AndroidStandardDevelop",":star2: Best practices in Android develop(final).","[""android"",""best-practices""]"
"doggycoder/AndroidOpenGLDemo","Android OpenGL ES从零开始的Demo","[""android"",""opengl""]"
"CameloeAnthony/AndroidArchitectureCollection","安卓架构文章合集（a collection of android Architecture）","[""android""]"
"imharryzhu/AndroidControl","超强群控，可以实时查看和控制安卓手机的安卓远程控制软件，致力于完成一个高端的安卓群控软件 可以群控，录制运行脚本等等功能...... ","[]"
"2dxgujun/AndroidTagGroup",":four_leaf_clover:A beautiful android tag group widget.","[""android""]"
"tvportal/android","TV Portal app for Android","[""android"",""app"",""tv""]"
"tato469/Android","Some useful classes for Android, tutorials, etc.","[]"
"Bearded-Hen/Android-Bootstrap","Bootstrap style widgets for Android, with Glyph Icons","[""icons"",""glyph-icons"",""style""]"
"xuyisheng/AndroidHeroes","Source code of the book - Android群英传","[""book"",""source-code"",""code""]"
"yipianfengye/androidProject","android产品研发过程中常用的技术，技巧，实践等","[]"
"snowdream/awesome-android","android libs from github or other websites","[""android"",""github"",""android-libs""]"
"appunite/AndroidFFmpeg","[DEPRECATED] FFmpeg build for android random architectures with example jni","[""android"",""random"",""ffmpeg"",""build"",""example""]"
"Zomato/AndroidPhotoFilters","AndroidPhotoFilters aims to provide fast, powerful and flexible image processing instrument for creating awesome effects on any image media.","[""image"",""image-processing"",""processing"",""awesome"",""effects""]"
"mcxiaoke/android-volley","DEPRECATED","[""deprecated""]"
"jaredrummler/AndroidProcesses","DEPRECATED","[""deprecated""]"
"googlesamples/android-vision","Deprecated: The Mobile Vision API is now a part of ML Kit: Check out this repo:","[""api"",""mobile"",""this"",""vision"",""vision-api"",""ml""]"
"Argisht44/android","spamer","[]"
"pockethub/PocketHub","PocketHub Android App","[""android"",""app"",""android-app""]"
"android-cn/android-open-project-analysis","Analysis implementation of android open source project, 微信公众号:codekk, 网站:","[""android"",""open-source"",""implementation"",""analysis""]"
"mmin18/AndroidDynamicLoader","A plugin system that runs like a browser, but instead of load web pages, it load apk plugins which runs natively on Android system.","[""android"",""apk"",""web"",""plugins"",""system"",""load"",""plugin""]"
"TommyLemon/Android-ZBLibrary","🔥Android MVP 快速开发框架，做国内 「示例最全面」「注释最详细」「使用最简单」「代码最严谨」的 Android 开源 UI 框架。                🔥An Android MVP Framework with many demos, detailed documents, simple usages and strict codes.","[""android"",""mvp"",""android-mvp"",""framework"",""ui""]"
"hyperboria/android","Android app for mesh networking with cjdns","[""android"",""networking"",""app"",""android-app""]"
"mixi-inc/AndroidTraining","Training course repository for android app development","[""android"",""repository"",""app"",""development"",""android-app"",""training"",""course""]"
"shadowsocksr-backup/shadowsocksr-android","A ShadowsocksR client for Android","[""android"",""client""]"
"r0ysue/AndroidSecurityStudy","安卓应用安全学习","[]"
"linsir6/AndroidNote","Android基础知识、Android进阶知识、Android自定义View相关、面试相关的知识，欢迎fork，star～","[]"
"tokudu/AndroidPushNotificationsDemo","A example of an android app that receives push notifications using MQTT.","[""android"",""notifications"",""push"",""app"",""example"",""android-app""]"
"kesenhoo/android-training-course-in-chinese","Android官方培训课程中文版","[]"
"zzz40500/AndroidSweetSheet","一个富有动感的Sheet(选择器)","[]"
"yipianfengye/androidSource","android framework层源码解析，不定时更新哈","[""android""]"
"liaohuqiu/android-Ultra-Pull-To-Refresh","Ultra Pull to Refresh for Android. Support all the views.","[""refresh"",""pull-to-refresh""]"
"pardom-zz/ActiveAndroid","Active record style SQLite persistence for Android","[""android"",""sqlite"",""record"",""persistence"",""style""]"
"hehonghui/AndroidEventBus","[DEPRECATED] A lightweight eventbus library for android, simplifies communication between Activities, Fragments, Threads, Services, etc.","[""communication"",""library"",""eventbus""]"
"hongyangAndroid/AndroidChangeSkin","一种完全无侵入的换肤方式，支持插件式和应用内，无需重启Activity.","[]"
"Kyson/AndroidGodEye","An app performance monitor(APM) , like ""Android Studio profiler"", you can easily monitor the performance of your app real time in browser","[""performance"",""time"",""browser"",""real-time"",""monitor"",""app""]"
"google/android-classyshark","Android and Java bytecode viewer","[""java"",""android""]"
"litesuits/android-common","Android Common Utils or Helper. Such as Log, Averager, Base64, Check, FlashLight, KeyguardLock, LogReader, Network, SilentInstaller, TimeAverager, TimeCounter, Toastor, WakeLock, ScreenReceiver, SmsReceiver, PhoneReceiver, NotificationService, AndroidUtil, AppUtil, BitmapUtil, ByteUtil, ClassUtil, DialogUtil, FieldUtil, FileUtil, HexUtil, MD5Util, NotificationUtil, NumberUtil, PackageUtil, RandomUtil, ShellUtil, TelephoneUtil, VibrateUtil, IOUtils, FileUtils, AsyncExecutor, etc.  通用性强，纯洁简单，体积不到50K！其中包括bitmap处理，文件操作，加密存储器，shell命令，静默安装，计数器，均值器，吐司，日志，校验，提示，网络监测等基础功能，以及一些Base64、MD5、Hex、Byte、Number、Dialog、Filed、Class、Package、Telephone、Random等工具类。","[""android"",""utils"",""common""]"
"D-clock/AndroidDaemonService","合理优雅的进程保活方式","[]"
"googlearchive/AndroidChat","Demonstrates using the Firebase Android SDK to back a ListView.","[""sdk"",""android"",""firebase"",""back"",""android-sdk""]"
"adrielcafe/AndroidAudioRecorder","A fancy audio recorder lib for Android. Supports WAV format at 48kHz.","[""audio"",""wav"",""format"",""lib"",""recorder""]"
"zendesk/android-floating-action-button","Floating Action Button for Android based on Material Design specification","[""material-design"",""floating-action-button"",""android"",""button"",""action"",""floating"",""material"",""design""]"
"kaushikgopal/RxJava-Android-Samples","Learning RxJava for Android by example","[""android"",""rxjava"",""learning-rxjava"",""example"",""learning""]"
"CameraKit/camerakit-android","Library for Android Camera 1 and 2 APIs. Massively increase stability and reliability of photo and video capture on all Android devices.","[""android-camera"",""android"",""video"",""camera"",""video-capture"",""photo"",""capture"",""library"",""reliability""]"
"survivingwithandroid/Surviving-with-android","Source code related to the posts in the blog","[""blog"",""source-code"",""code""]"
"guiying712/AndroidModulePattern","Android项目组件化示例代码，支持Fragment和View","[]"
"hitherejoe/Android-Boilerplate","Android Boilerplate project using RxJava, Dagger 2, Espresso, Mockito + more!","[""android"",""project"",""mockito"",""dagger"",""boilerplate""]"
"ybq/Android-SpinKit","Android  loading animations","[""android"",""loading"",""animations""]"
"Blizzard-liu/AndroidUtils","安卓攻城狮必备神器!!!","[]"
"Yalantis/Side-Menu.Android","Side menu with some categories to choose.","[""menu"",""categories"",""side-menu""]"
"JakeWharton/NineOldAndroids","[DEPRECATED] Android library for using the Honeycomb animation API on all versions of the platform back to 1.0!","[""android"",""api"",""animation"",""android-library"",""back"",""platform"",""library""]"
"xmuSistone/AndroidPileLayout","An abnormal horizontal ListView-like pile layout with stretch and contraction effects.","[""layout"",""pile""]"
"johannilsson/android-pulltorefresh","DEPRECATED This project aims to provide a reusable pull to refresh widget for Android.","[""widget"",""refresh"",""deprecated"",""pull-to-refresh"",""project"",""this""]"
"PaulTR/AndroidDemoProjects","Collection of Small Android Projects","[""android""]"
"androidquery/androidquery","AndroidQuery","[]"
"D-clock/AndroidSystemUiTraining","Android System UI Training Code","[""android"",""system"",""ui"",""training"",""code""]"
"JorgeCastilloPrz/AndroidFillableLoaders","Android fillable progress view working with SVG paths. This is a nice option too if you want to create an interesting branding logo for your app. Based on the iOS project: https://github.com/poolqf/FillableLoaders","[""ios"",""android"",""view"",""this"",""svg"",""progress""]"
"Pirngruber/AndroidIM","Android Instant Messaging Application","[""android"",""messaging"",""instant-messaging""]"
"android/android-ktx","A set of Kotlin extensions for Android app development.","[""android"",""kotlin"",""set"",""app"",""kotlin-extensions"",""android-app"",""extensions""]"
"whilu/AndroidTagView","A TagView library for Android. Customize your own & Drag effect.","[""drag"",""library""]"
"vilyever/AndroidSocketClient","Socket封装","[]"
"pedrovgs/EffectiveAndroidUI","Sample project created to show some of the best Android practices to work in the Android UI Layer. The UI layer of this project has been implemented using MVP or MVVM (without binding engine) to show how this patterns works. This project is used during the talk ""EffectiveAndroidUI"".","[""android"",""layer"",""project"",""this"",""mvvm"",""mvp"",""binding"",""android-ui"",""sample"",""ui""]"
"tangqi92/Android-Tips","An awesome list of tips for Android.","[""list"",""awesome"",""tips"",""awesome-list""]"
"ZhaoKaiQiang/AndroidDifficultAnalysis","安卓开发中遇到的重难点解析，也包括平常的读书笔记和知识点整理","[]"
"white-cat/ThinkAndroid","ThinkAndroid是一个免费的开源的、简易的、遵循Apache2开源协议发布的Android开发框架，其开发宗旨是简单、快速的进行 Android应用程序的开发，包含Android mvc、简易sqlite orm、ioc模块、封装Android httpclitent的http模块, 具有快速构建文件缓存功能，无需考虑缓存文件的格式，都可以非常轻松的实现缓存，它还基于文件缓存模块实现了图片缓存功能， 在android中加载的图片的时候，对oom的问题，和对加载图片错位的问题都轻易解决。他还包括了一个手机开发中经常应用的实用工具类， 如日志管理，配置文件管理，android下载器模块，网络切换检测等等工具。","[]"
"RomanTruba/AndroidTouchGallery","Android widget for gallery, using viewpager. Allow pinch zoom and drag for images by url","[""android"",""widget"",""url"",""android-widget"",""drag""]"
"WuXiaolong/AndroidMVPSample","Android MVP + Retrofit + RxJava2 实例","[""retrofit"",""android"",""mvp"",""android-mvp"",""rxjava2""]"
"yixia/VitamioBundle","Vitamio for Android","[""android"",""vitamio""]"
"Kotlin/anko","Pleasant Android application development","[""android"",""development"",""android-application""]"
"wasabeef/awesome-android-libraries","This is an alphabetical list of libraries for Android development, the majority being actively maintained.","[""android"",""list"",""libraries"",""this""]"
"xiongwei-git/AndroidVideoPlayer","Android Video Player , Like NetEaseNews Video Player.","[""android"",""video"",""android-video-player"",""video-player"",""player""]"
"sagemath/android","Sage's Android App (GSoC 2014)","[""android"",""app"",""android-app""]"
"ColorfulCat/AndroidGuide","AndroidCat安卓书签导航集合","[]"
"h4de5ing/AndroidCommon","基于Android系统Api封装常用工具类","[]"
"GavinCT/AndroidMultiChannelBuildTool","安卓多渠道打包工具","[]"
"grantland/android-autofittextview","A TextView that automatically resizes text to fit perfectly within its bounds.","[""textview"",""text""]"
"googlearchive/android-Camera2Basic","Migrated:","[]"
"MindorksOpenSource/android-mvp-architecture","This repository contains a detailed sample app that implements MVP architecture using Dagger2,  GreenDao, RxJava2, FastAndroidNetworking and PlaceholderView","[""this"",""architecture"",""mvp"",""repository"",""contains"",""app"",""sample"",""mvp-architecture"",""placeholderview"",""sample-app""]"
"rmtheis/android-ocr","Experimental optical character recognition app","[""character"",""app"",""optical-character-recognition"",""recognition""]"
"JoanZapata/android-pdfview","[DEPRECATED] A fast PDF reader component for Android development","[""android"",""pdf"",""development"",""android-development"",""component"",""fast""]"
"simple-android-framework/android_design_patterns_analysis","Android源码设计模式分析项目","[]"
"liangfeidotme/AndroidRubberIndicator","A rubber indicator","[""indicator""]"
"android-notes/androidScreenShare","android ","[""android""]"
"opendigg/awesome-github-android-ui","安卓UI相关开源项目库汇总 ","[]"
"googlevr/gvr-android-sdk","Google VR SDK for Android","[""sdk"",""android"",""google-vr"",""google-vr-sdk""]"
"saiwu-bigkoo/Android-ConvenientBanner","Simple and convenient banner, loop viewpager with 3D effects","[""3d"",""viewpager"",""effects""]"
"antonkrasov/AndroidSocialNetworks","Library for easy work with Facebook, Twitter, LinkedIn and Google on Android","[""android"",""linkedin"",""library"",""easy""]"
"GavinCT/AndroidMP3Recorder","为Android提供MP3录音功能[RETIRED]","[]"
"wangjiegulu/AndroidBucket","[DEPRECATED]Android开发常用整理","[]"
"bxiaopeng/AndroidStudio","AndroidStudio中文入门指南","[]"
"tyzlmjj/AndroidUI","安卓UI例子","[]"
"yixiaolunhui/AndroidCalendar","android日历收集demo","[]"
"dannytiehui/androidpn","An open source project to provide push notification support for Android -- a xmpp based notification server and a client tool kit.","[""push-notification"",""android"",""server"",""push"",""project"",""xmpp"",""open-source"",""client"",""open-source-project"",""notification""]"
"ximsfei/Android-skin-support","Android-skin-support is an easy dynamic skin framework to use  for Android, Only one line of code to integrate it. Android 换肤框架, 极低的学习成本, 极好的用户体验. ""一行""代码就可以实现换肤, 你值得拥有!!!","[""android"",""line"",""dynamic"",""framework"",""skin"",""easy"",""code""]"
"google-developer-training/android-advanced","Solution apps for the apps that students create as they work through the Advanced Android Development training course created by Google Developer Training.","[""android"",""development"",""apps"",""android-development"",""developer"",""training"",""course""]"
"MindorksOpenSource/AndroidTensorFlowMachineLearningExample","Android TensorFlow MachineLearning Example (Building TensorFlow for Android)","[""android"",""tensorflow"",""example"",""android-tensorflow""]"
"yuuwill/1024app-android","草榴官方客户端，小草客户端，Android","[]"
"iammert/AndroidArchitecture","Recommended architecture by Android","[""android"",""architecture""]"
"android-cn/android-discuss","Android 问题交流讨论坛, 微信公众号:codekk, 网站: ","[""android""]"
"android-cn/android-jobs","2018 年最新内推！我们相信来到这里的，无论工程师还是招聘者都是靠谱的！微信公众号:codekk，","[]"
"BoltsFramework/Bolts-Android","Bolts is a collection of low-level libraries designed to make developing mobile apps easier.","[""mobile"",""libraries"",""apps""]"
"JoanZapata/android-iconify","Android integration of multiple icon providers such as FontAwesome, Entypo, Typicons,...","[""android"",""integration""]"
"Tim9Liu9/TimLiu-Android","自己总结的Android开源项目及库 ","[]"
"adrielcafe/AndroidAudioConverter","Convert audio files inside your Android app easily. Supported formats: AAC, MP3, M4A, WMA, WAV and FLAC.","[""android"",""audio"",""wav"",""app"",""android-app""]"
"tekinarslan/AndroidMaterialDesignToolbar","Android Sample Project with Material Design and Toolbar.","[""material-design"",""android"",""project"",""sample"",""material"",""design""]"
"WilliamYi96/Android","this is my harvests about android learning!","[""android"",""this""]"
"code-troopers/android-betterpickers","[NO LONGER MAINTAINED] Android library for better Picker DialogFragments","[""android"",""android-library"",""picker"",""library""]"
"jiangqqlmj/FastDev4Android","本项目是Android快速开发框架，采用AndroidStudio进行开发。 预想集成工具包,采用MVP开发模式,EventBus数据分发,沉浸式状态栏,ORM,网络请求(HTTPClint,Volley,OkHttps),数据解析,依赖注入(AndroidAnnotations),xutils,图片异步加载，二维码扫描等等，后续会进行逐步添加","[]"
"CopyAndPasteHub/Android","Android files","[""android""]"
"jjz/android","about android","[""android""]"
"Frank-Zhu/AndroidRecyclerViewDemo","Android RecyclerView Demo ","[""android-recyclerview"",""android"",""recyclerview"",""demo""]"
"Trinea/android-demo","Android common lib demo, include ImageCache, HttpCache, DropDownListView, DownloadManager, install apk silent and so on, you can find description","[""android"",""apk"",""include"",""lib"",""common""]"
"DIY-green/AndroidStudyDemo","AndroidStudyDemo 为Android学习项目，将学习Android的过程中的收获都汇集于此。要求执行严格的编码规范。接下来会在简书上为每个Module写对应的文章，并持续更新。","[]"
"haikuowuya/AndroidElementals","作者这几年做Android开发过程中收集的一些开源Library，记录下来既方便自己查看也方便他人","[]"
"dmytrodanylyk/circular-progress-button","Android Circular Progress Button","[""android"",""button"",""progress""]"
"wendux/DSBridge-Android",":earth_americas: A modern cross-platform JavaScript bridge, through which you can invoke each other's functions synchronously or asynchronously between JavaScript and native.","[""javascript"",""cross-platform""]"
"geftimov/android-pathview","Android view with both path from constructed path or from svg.","[""android"",""android-view"",""view"",""path""]"
"ragunathjawahar/android-saripaar","UI form validation library for Android","[""android"",""validation"",""library"",""ui"",""validation-library""]"
"harism/android-pagecurl","An example application for creating page curl/flip effect on Android using OpenGL ES.","[""android"",""effect"",""opengl"",""example""]"
"hongyangAndroid/Android_Blog_Demos","source code in blog~","[""source-code"",""code""]"
"MindorksOpenSource/android-mvvm-architecture","This repository contains a detailed sample app that implements MVVM architecture using Dagger2,  Room, RxJava2, FastAndroidNetworking and PlaceholderView","[""this"",""mvvm"",""architecture"",""repository"",""contains"",""app"",""sample"",""placeholderview"",""mvvm-architecture"",""sample-app""]"
"envyfan/AndroidReview","Adnroid面试复习","[]"
"WritingMinds/ffmpeg-android-java","Android java library for FFmpeg binary compiled using https://github.com/writingminds/ffmpeg-android","[""java"",""android"",""ffmpeg"",""binary"",""library"",""java-library""]"
"interviewandroid/AndroidInterView","Android面试2019年最新版（每日更新），音视频，Android高级，性能优化，算法，Flutter技术，FFmpeg OppenGl，资源混淆,插件化，组件化，OkHttp，Rxjava,架构师，Android架构 ","[]"
"saulmm/Android-Material-Examples","[Deprecated] Little bites of Material Design","[""material-design"",""material"",""design""]"
"WuXiaolong/AndroidUtils","Android常用工具类","[]"
"houkx/android-pluginmgr","apk plug apkplug apk load","[""apk"",""load""]"
"mortenjust/androidtool-mac","One-click screenshots, video recordings, app installation for iOS and Android","[""ios"",""android"",""video"",""installation"",""app""]"
"krschultz/android-proguard-snippets","Proguard configurations for common Android libraries","[""proguard"",""android"",""libraries"",""common""]"
"danielzeller/Depth-LIB-Android-","A library that gives depth to Views.","[""library""]"
"android-cn/android-dev-cn","Some Chinese Android Developers Information, 微信公众号:codekk, 网站:","[""android""]"
"westlinkin/AndroidLocalizationer","This is a Android Studio/ IntelliJ IDEA plugin to localize your Android app, translate your string resources automactically.","[""string"",""android"",""resources"",""intellij-idea"",""this"",""translate"",""plugin""]"
"commonsguy/cw-omnibus","Source code to omnibus edition of _The Busy Coder's Guide to Android Development_","[""android"",""source-code"",""guide"",""code""]"
"wenchaojiang/AndroidSwipeableCardStack","A tinder like swipeable card stack component","[""stack"",""card"",""component"",""tinder""]"
"markushi/android-ui","Android UI library.","[""android"",""android-ui"",""ui""]"
"lidong1665/AndroidRapidLibrary","Android 快速开发库，主要想实现一条属于自己的开发框架。包括网络访问，数据，UI等等","[""android""]"
"qii/weiciyuan","Sina Weibo Android Client","[""android"",""client""]"
"romainpiel/Shimmer-android","(DEPRECATED) An Android TextView with a shimmering effect","[""textview"",""android"",""effect""]"
"gabrielemariotti/AndroidStudioTemplate","Simple Android Studio templates","[""android"",""android-studio"",""templates""]"
"xSAVIKx/AndroidScreencast","View and control your android device on PC","[""android"",""view"",""device"",""control"",""android-device""]"
"kymjs/KJFrameForAndroid","An Android library and includes ActivityFrame, KJHttp, KJBitmap, KJDataBase. KJFrameForAndroid is designed to wrap complexity of the Android native SDK and keep things simple.","[""sdk"",""android"",""native"",""android-library"",""library""]"
"Moosphan/Android-Daily-Interview",":pushpin:每工作日更新一道 Android 面试题，小聚成河，大聚成江，共勉之～","[""android""]"
"gb112211/AndroidTestScripts","Android测试中常用到的脚本","[]"
"navasmdc/MaterialDesignLibrary","This is a library with components of Android L to you use in android 2.2","[""android"",""this"",""components"",""library""]"
"udacity/Android_Me","App that lets you style your own Android! This uses Fragments to create a flexible and responsive UI.","[""this"",""responsive"",""app"",""fragments"",""style""]"
"johncaijing/AndroidTips","A collections of tips in Android developing.Android开发总结。我的博客:","[""android"",""collections"",""tips""]"
"vogellacompany/codeexamples-android","Android examples from the vogella.com website","[""android""]"
"nuptboyzhb/AndroidPluginFramework","AndroidPluginFramework","[]"
"amitshekhariitbhu/awesome-android-complete-reference","Awesome Android references for everything like best practices, performance optimization, etc.","[""android"",""performance"",""awesome"",""android-references""]"
"aporter/coursera-android-labs","Skeletons and Tests - Programming Mobile Applications for Android Handheld Systems","[""android"",""mobile""]"
"walkingp/AndroidCnblogs","cnblogs android client","[""android"",""client""]"
"google/agera","Reactive Programming for Android","[""android"",""reactive-programming"",""reactive""]"
"yipianfengye/android-adDialog","一个简单，强大的广告活动弹窗控件","[]"
"anggrayudi/android-hidden-api","A library that provides access to Android hidden APIs and internal resources.","[""android"",""library""]"
"JnuSimba/AndroidSecNotes","some learning notes about Android Security","[""android"",""security"",""android-security"",""learning"",""notes""]"
"vector-im/riot-android","A glossy Matrix collaboration client for Android","[""android"",""matrix"",""client""]"
"luojilab/DDComponentForAndroid","一套完整有效的android组件化方案，支持组件的组件完全隔离、单独调试、集成调试、组件交互、UI跳转、动态加载卸载等功能","[]"
"android-cn/android-dev-com","Some Famous Android Developers Information, 微信公众号:codekk, 网站:","[""android""]"
"frogermcs/AndroidDevMetrics","Performance metrics library for Android development (includes dagger2metrics)","[""android"",""performance"",""library"",""development"",""android-development""]"
"D-clock/AndroidAlbum","Simple Android Album","[""android"",""album""]"
"singwhatiwanna/android-art-res","the source code in research art of android development","[""android"",""development"",""android-development"",""source-code"",""art"",""research"",""code""]"
"daimajia/NumberProgressBar","A beautiful, slim Android ProgressBar.","[""android"",""slim""]"
"Piasy/AndroidTDDBootStrap","A bootstrap project for TDD Android.","[""project"",""tdd""]"
"ChillingVan/AndroidInstantVideo","展现Android硬编码下的视频数据流动，可以对视频做处理，例如加滤镜，加水印等，做直播推流（用RTMP）。  Show the stream of Android video hardware encode, including video processing and video publishing by RTMP.","[""android"",""video"",""processing"",""stream"",""video-processing"",""hardware""]"
"dmytrodanylyk/android-process-button","Android Buttons With Built-in Progress Meters.","[""android"",""progress""]"
"ApmeM/android-flowlayout","Linear layout, that wrap its content to the next line if there is no space in the current line.","[""line""]"
"dmytrodanylyk/android-process-button","Android Buttons With Built-in Progress Meters.","[""android"",""progress""]"
"Ramotion/cardslider-android",":octocat: 🃏 Cardslider is a material design UI controller that allows you to swipe through cards with pictures and accompanying descriptions.","[""material-design"",""swipe"",""controller"",""ui"",""material"",""design"",""cards""]"
"antoniolg/Kotlin-for-Android-Developers","Companion App for the book","[""app"",""book""]"
"WritingMinds/ffmpeg-android","FFmpeg for Android compiled with x264, libass, fontconfig, freetype, fribidi and lame (Supports Android 4.1+)","[""android"",""ffmpeg"",""fribidi""]"
"SusionSuc/AdvancedAndroid","Android 进阶","[""android""]"
"nkzawa/socket.io-android-chat","A simple chat demo for socket.io and Android","[""android"",""socket.io"",""chat"",""demo""]"
"dm77/barcodescanner","Barcode Scanner Libraries for Android","[""android"",""barcode-scanner"",""libraries"",""barcode"",""scanner""]"
"MindMac/AndroidEagleEye","An Xposed and adbi based module which is capable of hooking both Java and Native methods targeting Android OS.","[""java"",""android"",""methods"",""native"",""module"",""xposed""]"
"lgvalle/Material-Animations","Android Transition animations explanation with examples.","[""android"",""transition"",""animations""]"
"googlearchive/androidtv-Leanback","Migrated:","[]"
"Ellen2018/AndroidFaceInterview","Android面试题集 & 答案，助你拿到心仪Offer","[]"
"jingle1267/android-utils","It contains most of the Android utility classes. ","[""android"",""contains"",""utility""]"
"JsonChao/Awesome-WanAndroid",":zap:致力于打造一款极致体验的 http://www.wanandroid.com/ 客户端，知识和美是可以并存的哦QAQn(*≧▽≦*)n","[]"
"codeandcoke/android","Ejemplos de programación con Android","[""android""]"
"fanqieVip/AndroidOcrLibs","Android离线识别身份证、驾驶证、银行卡","[]"
"IanDarwin/Android-Cookbook-Examples","Contributed code examples from O'Reilly Android Cookbook. See #user-content-table README below!","[""android"",""readme"",""code""]"
"BeesX/BeesAndroid","Android系统源码分析重构中","[]"
"steelkiwi/AndroidRecording","Android Recording library offers convenient tools for audio/video recording and playback","[""android"",""playback"",""recording"",""library"",""tools""]"
"skyfishjy/android-ripple-background","A beautiful ripple animation for your app","[""animation"",""ripple"",""app"",""ripple-animation""]"
"taka-no-me/android-cmake","CMake toolchain file and other scripts for the Android NDK","[""android-ndk"",""android"",""file"",""cmake"",""ndk""]"
"kiyadesu/Android","walk into Android security step by step","[""android"",""security"",""android-security""]"
"linglongxin24/DylanStepCount","Android精准计步器","[]"
"Yalantis/GuillotineMenu-Android","Neat library, that provides a simple way to implement guillotine-styled animation","[""animation""]"
"stormzhang/android-interview-questions-cn","最全面的高质量 Android 面试指南。","[""android""]"
"tianzhijiexian/Android-Best-Practices","Android最佳实践示例","[]"
